Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
/dev/loop20      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop24     856M  856M     0 100% /snap/intellij-idea-community/515
/dev/loop31     181M  181M     0 100% /snap/postman/275
/dev/loop28      13M   13M     0 100% /snap/snap-store/959
/dev/loop16     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop15     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop23      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop26     181M  181M     0 100% /snap/postman/277
/dev/loop25     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop22     151M  151M     0 100% /snap/figma-linux/197
/dev/loop5       56M   56M     0 100% /snap/core18/2823
/dev/loop4       56M   56M     0 100% /snap/core18/2829
/dev/loop14     148M  148M     0 100% /snap/figma-linux/189
/dev/loop7       64M   64M     0 100% /snap/core20/2379
/dev/loop6       68M   68M     0 100% /snap/cups/1058
/dev/loop30      13M   13M     0 100% /snap/snap-store/1113
/dev/loop21      67M   67M     0 100% /snap/cups/1052
/dev/loop12     173M  173M     0 100% /snap/brave/438
/dev/loop9       36M   36M     0 100% /snap/dotnet-runtime-80/18
/dev/loop10     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop18     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop32      39M   39M     0 100% /snap/snapd/21759
/dev/loop34     322M  322M     0 100% /snap/vlc/3721
/dev/loop35      39M   39M     0 100% /snap/snapd/21465
/dev/loop33     322M  322M     0 100% /snap/vlc/3777
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   68K  366M   1% /run/user/1000
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  181G   41G  82% /
tmpfs           1.8G   36M  1.8G   2% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop1      173M  173M     0 100% /snap/brave/438
/dev/loop2       56M   56M     0 100% /snap/core18/2829
/dev/loop5       75M   75M     0 100% /snap/core22/1586
/dev/loop7       67M   67M     0 100% /snap/cups/1052
/dev/loop4       64M   64M     0 100% /snap/core20/2379
/dev/loop6       75M   75M     0 100% /snap/core22/1612
/dev/loop3       64M   64M     0 100% /snap/core20/2318
/dev/loop8       56M   56M     0 100% /snap/core18/2823
/dev/loop16     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop10      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop13     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop11      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop15     276M  276M     0 100% /snap/dotnet-sdk/248
/dev/loop24     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop22      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop12     151M  151M     0 100% /snap/figma-linux/197
/dev/loop18     219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop9      176M  176M     0 100% /snap/brave/440
/dev/loop19      36M   36M     0 100% /snap/dotnet-runtime-80/18
/dev/loop14     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop21     148M  148M     0 100% /snap/figma-linux/189
/dev/loop20     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop17      68M   68M     0 100% /snap/cups/1058
/dev/loop23     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop26     181M  181M     0 100% /snap/postman/275
/dev/loop27     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop28     269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop29     181M  181M     0 100% /snap/postman/277
/dev/loop30     322M  322M     0 100% /snap/vlc/3777
/dev/loop31      13M   13M     0 100% /snap/snap-store/1113
/dev/loop32     322M  322M     0 100% /snap/vlc/3721
/dev/loop33      13M   13M     0 100% /snap/snap-store/959
/dev/loop34      39M   39M     0 100% /snap/snapd/21759
/dev/loop35      39M   39M     0 100% /snap/snapd/21465
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   44K  366M   1% /run/user/1000
/dev/loop36     920M  920M     0 100% /snap/intellij-idea-community/535
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  181G   41G  82% /
tmpfs           1.8G   52M  1.8G   3% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop3       56M   56M     0 100% /snap/core18/2829
/dev/loop2       56M   56M     0 100% /snap/core18/2823
/dev/loop1      173M  173M     0 100% /snap/brave/438
/dev/loop5       64M   64M     0 100% /snap/core20/2318
/dev/loop16     219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop7       64M   64M     0 100% /snap/core20/2379
/dev/loop14     148M  148M     0 100% /snap/figma-linux/189
/dev/loop13     269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop8       67M   67M     0 100% /snap/cups/1052
/dev/loop17     151M  151M     0 100% /snap/figma-linux/197
/dev/loop4      176M  176M     0 100% /snap/brave/440
/dev/loop15     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop12     276M  276M     0 100% /snap/dotnet-sdk/248
/dev/loop10      36M   36M     0 100% /snap/dotnet-runtime-80/18
/dev/loop11      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop9       68M   68M     0 100% /snap/cups/1058
/dev/loop20     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop19     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop21     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop18      75M   75M     0 100% /snap/core22/1612
/dev/loop25     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop24      13M   13M     0 100% /snap/snap-store/1113
/dev/loop22     181M  181M     0 100% /snap/postman/275
/dev/loop26      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop27     322M  322M     0 100% /snap/vlc/3721
/dev/loop23     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop30     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop35     181M  181M     0 100% /snap/postman/277
/dev/loop32      13M   13M     0 100% /snap/snap-store/959
/dev/loop34     920M  920M     0 100% /snap/intellij-idea-community/535
/dev/loop31      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop28      39M   39M     0 100% /snap/snapd/21759
/dev/loop29     322M  322M     0 100% /snap/vlc/3777
/dev/loop33      39M   39M     0 100% /snap/snapd/21465
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   40K  366M   1% /run/user/1000
/dev/loop36      75M   75M     0 100% /snap/core22/1621
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  181G   41G  82% /
tmpfs           1.8G   88M  1.7G   5% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop3       56M   56M     0 100% /snap/core18/2829
/dev/loop2       56M   56M     0 100% /snap/core18/2823
/dev/loop5       75M   75M     0 100% /snap/core22/1621
/dev/loop1      176M  176M     0 100% /snap/brave/440
/dev/loop4       64M   64M     0 100% /snap/core20/2379
/dev/loop7       67M   67M     0 100% /snap/cups/1052
/dev/loop9       36M   36M     0 100% /snap/dotnet-runtime-80/18
/dev/loop11     269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop18     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop17     219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop10     276M  276M     0 100% /snap/dotnet-sdk/248
/dev/loop12      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop6       75M   75M     0 100% /snap/core22/1612
/dev/loop15     148M  148M     0 100% /snap/figma-linux/189
/dev/loop8       68M   68M     0 100% /snap/cups/1058
/dev/loop16     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop14     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop13     151M  151M     0 100% /snap/figma-linux/197
/dev/loop20      64M   64M     0 100% /snap/core20/2318
/dev/loop21      13M   13M     0 100% /snap/snap-store/1113
/dev/loop22     181M  181M     0 100% /snap/postman/277
/dev/loop23     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop26      39M   39M     0 100% /snap/snapd/21465
/dev/loop24     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop30     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop25     322M  322M     0 100% /snap/vlc/3721
/dev/loop28      39M   39M     0 100% /snap/snapd/21759
/dev/loop32     920M  920M     0 100% /snap/intellij-idea-community/535
/dev/loop34     181M  181M     0 100% /snap/postman/275
/dev/loop27      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop29     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop31      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop33      13M   13M     0 100% /snap/snap-store/959
/dev/loop35     322M  322M     0 100% /snap/vlc/3777
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   44K  366M   1% /run/user/1000
/dev/loop36     176M  176M     0 100% /snap/brave/442
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  181G   41G  82% /
tmpfs           1.8G   61M  1.8G   4% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop2      176M  176M     0 100% /snap/brave/442
/dev/loop3       56M   56M     0 100% /snap/core18/2829
/dev/loop1      176M  176M     0 100% /snap/brave/440
/dev/loop9       35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop7       64M   64M     0 100% /snap/core20/2379
/dev/loop10     276M  276M     0 100% /snap/dotnet-sdk/248
/dev/loop5       75M   75M     0 100% /snap/core22/1612
/dev/loop4       64M   64M     0 100% /snap/core20/2318
/dev/loop11     269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop6       75M   75M     0 100% /snap/core22/1621
/dev/loop12     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop14     151M  151M     0 100% /snap/figma-linux/197
/dev/loop8       36M   36M     0 100% /snap/dotnet-runtime-80/18
/dev/loop13     148M  148M     0 100% /snap/figma-linux/189
/dev/loop16      67M   67M     0 100% /snap/cups/1052
/dev/loop23     219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop15      56M   56M     0 100% /snap/core18/2823
/dev/loop20     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop18     181M  181M     0 100% /snap/postman/277
/dev/loop21     322M  322M     0 100% /snap/vlc/3777
/dev/loop19     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop17      68M   68M     0 100% /snap/cups/1058
/dev/loop28     322M  322M     0 100% /snap/vlc/3721
/dev/loop24      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop25      13M   13M     0 100% /snap/snap-store/1113
/dev/loop26     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop27     920M  920M     0 100% /snap/intellij-idea-community/535
/dev/loop22      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop33     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop30     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop32     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop35      39M   39M     0 100% /snap/snapd/21465
/dev/loop34      13M   13M     0 100% /snap/snap-store/959
/dev/loop31     181M  181M     0 100% /snap/postman/279
/dev/loop29      39M   39M     0 100% /snap/snapd/21759
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   52K  366M   1% /run/user/1000
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  182G   41G  82% /
tmpfs           1.8G  139M  1.7G   8% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop1      176M  176M     0 100% /snap/brave/442
/dev/loop2       56M   56M     0 100% /snap/core18/2823
/dev/loop3      176M  176M     0 100% /snap/brave/440
/dev/loop4       64M   64M     0 100% /snap/core20/2379
/dev/loop6       39M   39M     0 100% /snap/snapd/21465
/dev/loop5       64M   64M     0 100% /snap/core20/2318
/dev/loop13      13M   13M     0 100% /snap/snap-store/1216
