Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
/dev/loop24     269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop21     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop17     920M  920M     0 100% /snap/intellij-idea-community/535
/dev/loop15     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop19      13M   13M     0 100% /snap/snap-store/1113
/dev/loop11     219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop8       82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop14     181M  181M     0 100% /snap/postman/279
/dev/loop29     276M  276M     0 100% /snap/dotnet-sdk/248
/dev/loop10     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop9      506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop7      219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop12     181M  181M     0 100% /snap/postman/277
/dev/loop16     148M  148M     0 100% /snap/figma-linux/189
/dev/loop22     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop20      56M   56M     0 100% /snap/core18/2829
/dev/loop26      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop28      75M   75M     0 100% /snap/core22/1612
/dev/loop25      68M   68M     0 100% /snap/cups/1058
/dev/loop18      75M   75M     0 100% /snap/core22/1621
/dev/loop27      67M   67M     0 100% /snap/cups/1052
/dev/loop23      36M   36M     0 100% /snap/dotnet-runtime-80/18
/dev/loop30     322M  322M     0 100% /snap/vlc/3721
/dev/loop31     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop32      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop34     322M  322M     0 100% /snap/vlc/3777
/dev/loop33      39M   39M     0 100% /snap/snapd/21759
/dev/loop35     151M  151M     0 100% /snap/figma-linux/197
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   48K  366M   1% /run/user/1000
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  182G   40G  83% /
tmpfs           1.8G   50M  1.8G   3% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop1      176M  176M     0 100% /snap/brave/442
/dev/loop2      176M  176M     0 100% /snap/brave/444
/dev/loop3       56M   56M     0 100% /snap/core18/2829
/dev/loop10     148M  148M     0 100% /snap/figma-linux/189
/dev/loop7       36M   36M     0 100% /snap/dotnet-runtime-80/18
/dev/loop12      68M   68M     0 100% /snap/cups/1058
/dev/loop13     276M  276M     0 100% /snap/dotnet-sdk/248
/dev/loop4       64M   64M     0 100% /snap/core20/2318
/dev/loop5       75M   75M     0 100% /snap/core22/1612
/dev/loop14     219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop6       64M   64M     0 100% /snap/core20/2379
/dev/loop9      269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop8       67M   67M     0 100% /snap/cups/1052
/dev/loop15      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop11      56M   56M     0 100% /snap/core18/2846
/dev/loop21     322M  322M     0 100% /snap/vlc/3777
/dev/loop16     151M  151M     0 100% /snap/figma-linux/197
/dev/loop17     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop24      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop19      39M   39M     0 100% /snap/snapd/21465
/dev/loop18     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop23     920M  920M     0 100% /snap/intellij-idea-community/535
/dev/loop22      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop20     322M  322M     0 100% /snap/vlc/3721
/dev/loop25      13M   13M     0 100% /snap/snap-store/1113
/dev/loop26     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop28     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop29      75M   75M     0 100% /snap/core22/1621
/dev/loop32      13M   13M     0 100% /snap/snap-store/1216
/dev/loop30     181M  181M     0 100% /snap/postman/281
/dev/loop27     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop33      39M   39M     0 100% /snap/snapd/21759
/dev/loop34     181M  181M     0 100% /snap/postman/279
/dev/loop31     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop35     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   40K  366M   1% /run/user/1000
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  182G   40G  83% /
tmpfs           1.8G   51M  1.8G   3% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop1      176M  176M     0 100% /snap/brave/442
/dev/loop2       75M   75M     0 100% /snap/core22/1612
/dev/loop3       68M   68M     0 100% /snap/cups/1058
/dev/loop7       67M   67M     0 100% /snap/cups/1052
/dev/loop5       56M   56M     0 100% /snap/core18/2829
/dev/loop6      176M  176M     0 100% /snap/brave/444
/dev/loop8       56M   56M     0 100% /snap/core18/2846
/dev/loop11     165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop4       35M   35M     0 100% /snap/dotnet-runtime-80/23
/dev/loop14      64M   64M     0 100% /snap/core20/2379
/dev/loop10      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop13     148M  148M     0 100% /snap/figma-linux/189
/dev/loop15     151M  151M     0 100% /snap/figma-linux/197
/dev/loop9      219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop18      75M   75M     0 100% /snap/core22/1621
/dev/loop16     270M  270M     0 100% /snap/dotnet-sdk/252
/dev/loop12     269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop20      64M   64M     0 100% /snap/core20/2318
/dev/loop17      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop21     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop19     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop23      13M   13M     0 100% /snap/snap-store/1216
/dev/loop26     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop25     181M  181M     0 100% /snap/postman/281
/dev/loop22      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop24     920M  920M     0 100% /snap/intellij-idea-community/535
/dev/loop27     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop28     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop30     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop29      13M   13M     0 100% /snap/snap-store/1113
/dev/loop32     183M  183M     0 100% /snap/postman/283
/dev/loop34      39M   39M     0 100% /snap/snapd/21759
/dev/loop31      39M   39M     0 100% /snap/snapd/21465
/dev/loop33     322M  322M     0 100% /snap/vlc/3721
/dev/loop35     322M  322M     0 100% /snap/vlc/3777
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   52K  366M   1% /run/user/1000
Filesystem      Size  Used Avail Use% Mounted on
udev            1.8G     0  1.8G   0% /dev
tmpfs           366M  2.7M  363M   1% /run
/dev/nvme0n1p2  234G  182G   40G  83% /
tmpfs           1.8G   71M  1.8G   4% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.8G     0  1.8G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop1      176M  176M     0 100% /snap/brave/442
/dev/loop2       68M   68M     0 100% /snap/cups/1058
/dev/loop4      176M  176M     0 100% /snap/brave/444
/dev/loop3       75M   75M     0 100% /snap/core22/1621
/dev/loop5       64M   64M     0 100% /snap/core20/2379
/dev/loop22      64M   64M     0 100% /snap/core20/2318
/dev/loop14     350M  350M     0 100% /snap/gnome-3-38-2004/140
/dev/loop6       56M   56M     0 100% /snap/core18/2846
/dev/loop24      35M   35M     0 100% /snap/dotnet-runtime-80/20
/dev/loop19     505M  505M     0 100% /snap/gnome-42-2204/172
/dev/loop7      165M  165M     0 100% /snap/gnome-3-28-1804/198
/dev/loop15     219M  219M     0 100% /snap/gnome-3-34-1804/93
/dev/loop20     506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop10     270M  270M     0 100% /snap/dotnet-sdk/252
/dev/loop12     219M  219M     0 100% /snap/gnome-3-34-1804/90
/dev/loop21     920M  920M     0 100% /snap/intellij-idea-community/530
/dev/loop8       35M   35M     0 100% /snap/dotnet-runtime-80/23
/dev/loop13     151M  151M     0 100% /snap/figma-linux/197
/dev/loop26      67M   67M     0 100% /snap/cups/1052
/dev/loop16     148M  148M     0 100% /snap/figma-linux/189
/dev/loop25      56M   56M     0 100% /snap/core18/2829
/dev/loop9      269M  269M     0 100% /snap/dotnet-sdk/250
/dev/loop18     183M  183M     0 100% /snap/postman/283
/dev/loop11     181M  181M     0 100% /snap/postman/281
/dev/loop23      75M   75M     0 100% /snap/core22/1612
/dev/loop17     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop27      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop30      82M   82M     0 100% /snap/gtk-common-themes/1534
/dev/loop31      39M   39M     0 100% /snap/snapd/21759
/dev/loop28      13M   13M     0 100% /snap/snap-store/1216
/dev/loop29     920M  920M     0 100% /snap/intellij-idea-community/535
/dev/loop34      13M   13M     0 100% /snap/snap-store/1113
/dev/loop35     322M  322M     0 100% /snap/vlc/3721
/dev/loop32      39M   39M     0 100% /snap/snapd/21465
/dev/loop33     322M  322M     0 100% /snap/vlc/3777
/dev/nvme0n1p1  511M  6.1M  505M   2% /boot/efi
tmpfs           366M   44K  366M   1% /run/user/1000
